Cumulative sequencing depth,Fraction of target bases(%)
1363,0.067006
1364,0.066878
1365,0.066878
1366,0.066813
1367,0.066749
1368,0.066621
1369,0.066364
1370,0.066364
1371,0.066171
1372,0.066171
1373,0.066042
1374,0.066042
1375,0.066042
1376,0.066042
1377,0.065850
1378,0.065785
1379,0.065721
1380,0.065721
1381,0.065657
1382,0.065400
1383,0.065400
1384,0.065207
1385,0.064886
1386,0.064758
1387,0.064629
1388,0.064565
1389,0.064436
1390,0.064179
1391,0.063987
1392,0.063987
1393,0.063922
1394,0.063858
1395,0.063601
1396,0.063344
1397,0.063151
1398,0.062894
1399,0.062702
1400,0.062381
1401,0.062188
1402,0.061995
1403,0.061738
1404,0.061610
1405,0.061545
1406,0.061545
1407,0.061417
1408,0.061160
1409,0.061160
1410,0.061096
1411,0.060967
1412,0.060774
1413,0.060646
1414,0.060582
1415,0.060517
1416,0.060453
1417,0.060261
1418,0.060132
1419,0.059939
1420,0.059939
1421,0.059811
1422,0.059361
1423,0.059233
1424,0.059040
1425,0.058847
1426,0.058719
1427,0.058462
1428,0.058269
1429,0.058205
1430,0.058076
1431,0.058012
1432,0.057883
1433,0.057755
1434,0.057627
1435,0.057370
1436,0.057241
1437,0.057113
1438,0.056920
1439,0.056856
1440,0.056470
1441,0.056406
1442,0.056213
1443,0.056085
1444,0.055828
1445,0.055699
1446,0.055442
1447,0.055314
1448,0.055250
1449,0.055057
1450,0.054864
1451,0.054671
1452,0.054479
1453,0.054350
1454,0.054222
1455,0.054222
1456,0.054029
1457,0.054029
1458,0.053836
1459,0.053515
1460,0.053451
1461,0.053194
1462,0.053194
1463,0.053065
1464,0.053001
1465,0.052808
1466,0.052680
1467,0.052616
1468,0.052487
1469,0.052423
1470,0.052359
1471,0.051909
1472,0.051716
1473,0.051652
1474,0.051459
1475,0.051202
1476,0.050945
1477,0.050624
1478,0.050303
1479,0.049853
1480,0.049403
1481,0.049275
1482,0.049082
1483,0.048825
1484,0.048697
1485,0.048504
1486,0.048311
1487,0.048183
1488,0.047926
1489,0.047797
1490,0.047669
1491,0.047540
1492,0.047476
1493,0.047348
1494,0.047091
1495,0.046834
1496,0.046769
1497,0.046641
1498,0.046384
1499,0.046384
1500,0.046320
1501,0.046191
1502,0.046127
1503,0.045934
1504,0.045741
1505,0.045420
1506,0.045228
1507,0.045163
1508,0.045099
1509,0.044906
1510,0.044842
1511,0.044585
1512,0.044457
1513,0.044328
1514,0.044200
1515,0.044007
1516,0.043686
1517,0.043493
1518,0.043172
1519,0.043043
1520,0.043043
1521,0.042915
1522,0.042786
1523,0.042722
1524,0.042529
1525,0.042401
1526,0.042208
1527,0.042080
1528,0.041951
1529,0.041887
1530,0.041887
1531,0.041630
1532,0.041373
1533,0.041373
1534,0.041309
1535,0.041309
1536,0.041244
1537,0.040987
1538,0.040923
1539,0.040859
1540,0.040795
1541,0.040730
1542,0.040666
1543,0.040473
1544,0.040281
1545,0.039831
1546,0.039317
1547,0.039253
1548,0.039060
1549,0.038739
1550,0.038610
1551,0.038418
1552,0.038225
1553,0.037904
1554,0.037839
1555,0.037839
1556,0.037647
1557,0.037518
1558,0.037518
1559,0.037454
1560,0.037326
1561,0.037261
1562,0.037197
1563,0.037069
1564,0.037004
1565,0.036555
1566,0.036362
1567,0.036298
1568,0.036298
1569,0.036298
1570,0.036233
1571,0.036105
1572,0.036041
1573,0.036041
1574,0.035976
1575,0.035912
1576,0.035848
1577,0.035848
1578,0.035848
1579,0.035784
1580,0.035591
1581,0.035591
1582,0.035591
1583,0.035591
1584,0.035591
1585,0.035527
1586,0.035398
1587,0.035398
1588,0.035398
1589,0.035398
1590,0.035334
1591,0.035205
1592,0.035205
1593,0.035077
1594,0.035013
1595,0.034949
1596,0.034949
1597,0.034820
1598,0.034435
1599,0.034435
1600,0.034306
1601,0.034242
1602,0.034242
1603,0.034242
1604,0.034242
1605,0.034178
1606,0.034113
1607,0.034113
1608,0.034049
1609,0.034049
1610,0.034049
1611,0.034049
1612,0.033985
1613,0.033985
1614,0.033921
1615,0.033921
1616,0.033921
1617,0.033921
1618,0.033856
1619,0.033856
1620,0.033792
1621,0.033792
1622,0.033664
1623,0.033664
1624,0.033664
1625,0.033599
1626,0.033535
1627,0.033535
1628,0.033471
1629,0.033407
1630,0.033342
1631,0.033214
1632,0.033085
1633,0.033021
1634,0.033021
1635,0.033021
1636,0.033021
1637,0.032957
1638,0.032893
1639,0.032893
1640,0.032893
1641,0.032764
1642,0.032700
1643,0.032572
1644,0.032572
1645,0.032572
1646,0.032572
1647,0.032443
1648,0.032443
1649,0.032379
1650,0.032315
1651,0.032250
1652,0.032186
1653,0.032186
1654,0.032122
1655,0.032122
1656,0.031993
1657,0.031993
1658,0.031993
1659,0.031929
1660,0.031929
1661,0.031865
1662,0.031801
1663,0.031672
1664,0.031608
1665,0.031608
1666,0.031544
1667,0.031479
1668,0.031479
1669,0.031479
1670,0.031287
1671,0.031287
1672,0.031287
1673,0.031287
1674,0.031222
1675,0.031222
1676,0.031094
1677,0.030965
1678,0.030901
1679,0.030837
1680,0.030773
1681,0.030773
1682,0.030708
1683,0.030708
1684,0.030708
1685,0.030580
1686,0.030580
1687,0.030580
1688,0.030516
1689,0.030516
1690,0.030516
1691,0.030451
1692,0.030387
1693,0.030323
1694,0.030259
1695,0.030130
1696,0.030066
1697,0.029938
1698,0.029873
1699,0.029745
1700,0.029745
1701,0.029745
1702,0.029681
1703,0.029681
1704,0.029616
1705,0.029616
1706,0.029552
1707,0.029552
1708,0.029488
1709,0.029488
1710,0.029424
1711,0.029424
1712,0.029359
1713,0.029359
1714,0.029359
1715,0.029359
1716,0.029359
1717,0.029359
1718,0.029359
1719,0.029167
1720,0.029102
1721,0.029038
1722,0.028910
1723,0.028910
1724,0.028910
1725,0.028910
1726,0.028781
1727,0.028781
1728,0.028781
1729,0.028781
1730,0.028653
1731,0.028588
1732,0.028588
1733,0.028524
1734,0.028396
1735,0.028331
1736,0.028267
1737,0.028139
1738,0.028139
1739,0.028074
1740,0.028010
1741,0.028010
1742,0.028010
1743,0.028010
1744,0.027882
1745,0.027882
1746,0.027753
1747,0.027689
1748,0.027625
1749,0.027625
1750,0.027625
1751,0.027496
1752,0.027432
1753,0.027304
1754,0.027239
1755,0.027239
1756,0.027239
1757,0.027239
1758,0.027239
1759,0.027175
1760,0.027047
1761,0.026982
1762,0.026982
1763,0.026918
1764,0.026918
1765,0.026854
1766,0.026790
1767,0.026790
1768,0.026790
1769,0.026661
1770,0.026597
1771,0.026533
1772,0.026468
1773,0.026404
1774,0.026340
1775,0.026340
1776,0.026211
1777,0.026083
1778,0.025954
1779,0.025826
1780,0.025826
1781,0.025762
1782,0.025762
1783,0.025697
1784,0.025633
1785,0.025505
1786,0.025505
1787,0.025505
1788,0.025440
1789,0.025440
1790,0.025440
1791,0.025376
1792,0.025312
1793,0.025312
1794,0.025312
1795,0.025248
1796,0.025248
1797,0.025119
1798,0.025119
1799,0.025055
1800,0.025055
1801,0.024991
1802,0.024927
1803,0.024798
1804,0.024798
1805,0.024734
1806,0.024734
1807,0.024670
1808,0.024670
1809,0.024541
1810,0.024541
1811,0.024477
1812,0.024413
1813,0.024348
1814,0.024348
1815,0.024284
1816,0.024284
1817,0.024284
1818,0.024220
1819,0.024220
1820,0.024156
1821,0.024091
1822,0.024091
1823,0.024091
1824,0.023963
1825,0.023963
1826,0.023963
1827,0.023963
1828,0.023963
1829,0.023963
1830,0.023899
1831,0.023899
1832,0.023770
1833,0.023706
1834,0.023706
1835,0.023706
1836,0.023706
1837,0.023706
1838,0.023706
1839,0.023706
1840,0.023706
1841,0.023706
1842,0.023706
1843,0.023706
1844,0.023642
1845,0.023513
1846,0.023513
1847,0.023449
1848,0.023449
1849,0.023449
1850,0.023385
1851,0.023385
1852,0.023385
1853,0.023385
1854,0.023385
1855,0.023320
