Sequencing depth,Fraction of target bases(%),Number of target bases
1205,0.020751,323
1206,0.021136,329
1207,0.020494,319
1208,0.018823,293
1209,0.024220,377
1210,0.022742,354
1211,0.020429,318
1212,0.022228,346
1213,0.020108,313
1214,0.020558,320
1215,0.019980,311
1216,0.020558,320
1217,0.019916,310
1218,0.019337,301
1219,0.020879,325
1220,0.022614,352
1221,0.020622,321
1222,0.023770,370
1223,0.022421,349
1224,0.021457,334
1225,0.021843,340
1226,0.022421,349
1227,0.021779,339
1228,0.021714,338
1229,0.023899,372
1230,0.022935,357
1231,0.021522,335
1232,0.024862,387
1233,0.020622,321
1234,0.023513,366
1235,0.021586,336
1236,0.024991,389
1237,0.022614,352
1238,0.024027,374
1239,0.023834,371
1240,0.022485,350
1241,0.023834,371
1242,0.021907,341
1243,0.022871,356
1244,0.022485,350
1245,0.022293,347
1246,0.024156,376
1247,0.023256,362
1248,0.025954,404
1249,0.023320,363
1250,0.024670,384
1251,0.023449,365
1252,0.023642,368
1253,0.024798,386
1254,0.023063,359
1255,0.024541,382
1256,0.024348,379
1257,0.025183,392
1258,0.026340,410
1259,0.025312,394
1260,0.025183,392
1261,0.027753,432
1262,0.021971,342
1263,0.026918,419
1264,0.027432,427
1265,0.026404,411
1266,0.026533,413
1267,0.024220,377
1268,0.025376,395
1269,0.025248,393
1270,0.025505,397
1271,0.027175,423
1272,0.026147,407
1273,0.024477,381
1274,0.026725,416
1275,0.024927,388
1276,0.025569,398
1277,0.025633,399
1278,0.026340,410
1279,0.026597,414
1280,0.025440,396
1281,0.028267,440
1282,0.025055,390
1283,0.027111,422
1284,0.026982,420
1285,0.026854,418
1286,0.028203,439
1287,0.029552,460
1288,0.024862,387
1289,0.025633,399
1290,0.025762,401
1291,0.025505,397
1292,0.026468,412
1293,0.026276,409
1294,0.028267,440
1295,0.028203,439
1296,0.028074,437
1297,0.027689,431
1298,0.025440,396
1299,0.027625,430
1300,0.026147,407
1301,0.026211,408
1302,0.026597,414
1303,0.028460,443
1304,0.028396,442
1305,0.026918,419
1306,0.025762,401
1307,0.027689,431
1308,0.027239,424
1309,0.024862,387
1310,0.026019,405
1311,0.024927,388
1312,0.027817,433
1313,0.030451,474
1314,0.026468,412
1315,0.029938,466
1316,0.028010,436
1317,0.028010,436
1318,0.029038,452
1319,0.026725,416
1320,0.027111,422
1321,0.028267,440
1322,0.030066,468
1323,0.027689,431
1324,0.028910,450
1325,0.027175,423
1326,0.027817,433
1327,0.027882,434
1328,0.027882,434
1329,0.027946,435
1330,0.029102,453
1331,0.029809,464
1332,0.030580,476
1333,0.026854,418
1334,0.027111,422
1335,0.028974,451
1336,0.027689,431
1337,0.028460,443
1338,0.028653,446
1339,0.031158,485
1340,0.030580,476
1341,0.029809,464
1342,0.028139,438
1343,0.029102,453
1344,0.028653,446
1345,0.028524,444
1346,0.028203,439
1347,0.027047,421
1348,0.025376,395
1349,0.030387,473
1350,0.027111,422
1351,0.028139,438
1352,0.028910,450
1353,0.030323,472
1354,0.029102,453
1355,0.030901,481
1356,0.031222,486
1357,0.026533,413
1358,0.031351,488
1359,0.030323,472
1360,0.030194,470
1361,0.029102,453
1362,0.029359,457
1363,0.031415,489
1364,0.028588,445
1365,0.029359,457
1366,0.030516,475
1367,0.029102,453
1368,0.029873,465
1369,0.029873,465
1370,0.030965,482
1371,0.032250,502
1372,0.029745,463
1373,0.033278,518
1374,0.030259,471
1375,0.030451,474
1376,0.031608,492
1377,0.028331,441
1378,0.032572,507
1379,0.030516,475
1380,0.032700,509
1381,0.031672,493
1382,0.030580,476
1383,0.030644,477
1384,0.031929,497
1385,0.028524,444
1386,0.029102,453
1387,0.030516,475
1388,0.030773,479
1389,0.029745,463
1390,0.032122,500
1391,0.031929,497
1392,0.031479,490
1393,0.030259,471
1394,0.031672,493
1395,0.030901,481
1396,0.032058,499
